Location,Rooms,P2019,P2020,P2021
Guernsey (Livingroom),1,199,209,240
Guernsey (Livingroom),1,209,220,253
Guernsey (Livingroom),1,210,221,254
Guernsey (Livingroom),1,211,222,255
Guernsey (Livingroom),1,212,223,256
Guernsey (Livingroom),1,213,224,258
Guernsey (Livingroom),1,214,225,259
Guernsey (Livingroom),1,215,226,260
Guernsey (Livingroom),1,216,227,261
Guernsey (Livingroom),1,217,228,262
Guernsey (Livingroom),1,218,229,263
Guernsey (Livingroom),1,219,230,265
Guernsey (Livingroom),1,219,231,266
Guernsey (Livingroom),1,220,232,267
Guernsey (Livingroom),1,221,233,268
Guernsey (Livingroom),1,222,234,269
Guernsey (Livingroom),1,223,235,270
Guernsey (Livingroom),1,224,236,271
Guernsey (Swoffers),1,113,119,137
Guernsey (Swoffers),1,124,130,150
Guernsey (Swoffers),1,185,195,224
Guernsey (Swoffers),1,185,195,224
Guernsey (Swoffers),1,185,195,224
Guernsey (Swoffers),1,189,199,229
Guernsey (Swoffers),1,189,199,229
Guernsey (Swoffers),1,199,209,240
Guernsey (Swoffers),1,200,210,242
Guernsey (Swoffers),1,208,219,252
Guernsey (Swoffers),1,209,220,253
Guernsey (Swoffers),1,209,220,253
Guernsey (Swoffers),1,209,220,253
Guernsey (Swoffers),1,223,235,270
Guernsey (Swoffers),1,233,245,282
Guernsey (Swoffers),1,238,250,288
Guernsey (Swoffers),1,242,255,293
Guernsey (Swoffers),1,252,265,305
Guernsey (Swoffers),1,266,280,322
Guernsey (Swoffers),1,280,295,339
Guernsey (Swoffers),1,284,299,344
Guernsey (Swoffers),1,309,325,374
Guernsey (Swoffers),1,370,389,447
Guernsey (Swoffers),1,375,395,454
Guernsey (Swoffers),1,379,399,459
Guernsey (Swoffers),1,380,400,460
Guernsey (Swoffers),1,404,425,489
Guernsey (Swoffers),1,451,475,546
